,FIPS,2000,2004,2008,2012,2016,party2000,party2004,party2008,party2012,party2016,Switch_2000_2004,Switch_2004_2008,Switch_2008_2012,Switch_2012_2016,county,state
72,4017.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,republican,republican,republican,republican,republican,False,False,False,False,Navajo,Arizona
73,4021.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,republican,republican,republican,republican,republican,False,False,False,False,Pinal,Arizona
74,4025.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,republican,republican,republican,republican,republican,False,False,False,False,Yavapai,Arizona
75,4027.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,republican,republican,republican,republican,republican,False,False,False,False,Yuma,Arizona
76,5001.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,republican,republican,republican,republican,republican,False,False,False,False,Arkansas,Arkansas
77,5005.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,republican,republican,republican,republican,republican,False,False,False,False,Baxter,Arkansas
78,5007.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,republican,republican,republican,republican,republican,False,False,False,False,Benton,Arkansas
79,5009.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,republican,republican,republican,republican,republican,False,False,False,False,Boone,Arkansas
80,5013.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,republican,republican,republican,republican,republican,False,False,False,False,Calhoun,Arkansas
81,5015.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,republican,republican,republican,republican,republican,False,False,False,False,Carroll,Arkansas
82,5023.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,republican,republican,republican,republican,republican,False,False,False,False,Cleburne,Arkansas
83,5025.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,republican,republican,republican,republican,republican,False,False,False,False,Cleveland,Arkansas
84,5027.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,republican,republican,republican,republican,republican,False,False,False,False,Columbia,Arkansas
85,5029.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,republican,republican,republican,republican,republican,False,False,False,False,Conway,Arkansas
86,5033.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,republican,republican,republican,republican,republican,False,False,False,False,Crawford,Arkansas
87,5045.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,republican,republican,republican,republican,republican,False,False,False,False,Faulkner,Arkansas
88,5047.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,republican,republican,republican,republican,republican,False,False,False,False,Franklin,Arkansas
89,5049.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,republican,republican,republican,republican,republican,False,False,False,False,Fulton,Arkansas
90,5051.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,republican,republican,republican,republican,republican,False,False,False,False,Garland,Arkansas
91,5053.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,republican,republican,republican,republican,republican,False,False,False,False,Grant,Arkansas
92,5061.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,republican,republican,republican,republican,republican,False,False,False,False,Howard,Arkansas
93,5063.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,republican,republican,republican,republican,republican,False,False,False,False,Independence,Arkansas
94,5071.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,republican,republican,republican,republican,republican,False,False,False,False,Johnson,Arkansas
95,5083.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,republican,republican,republican,republican,republican,False,False,False,False,Logan,Arkansas
96,5085.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,republican,republican,republican,republican,republican,False,False,False,False,Lonoke,Arkansas
97,5087.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,republican,republican,republican,republican,republican,False,False,False,False,Madison,Arkansas
98,5089.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,republican,republican,republican,republican,republican,False,False,False,False,Marion,Arkansas
99,5091.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,republican,republican,republican,republican,republican,False,False,False,False,Miller,Arkansas
100,5097.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,republican,republican,republican,republican,republican,False,False,False,False,Montgomery,Arkansas
101,5101.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,republican,republican,republican,republican,republican,False,False,False,False,Newton,Arkansas
